(base) AFinney1~/Dev/AoC2023/day7(main|…) % ./day7p1 input.txt
hand 23AK5, bid 926, label 0, running total 926
hand 2436K, bid 66, label 0, running total 1058
hand 259K4, bid 264, label 0, running total 1850
hand 2849J, bid 857, label 0, running total 5278
hand 286QA, bid 992, label 0, running total 10238
hand 28T43, bid 726, label 0, running total 14594
hand 29K7A, bid 946, label 0, running total 21216
hand 2T657, bid 719, label 0, running total 26968
hand 2T79Q, bid 446, label 0, running total 30982
hand 2T965, bid 997, label 0, running total 40952
hand 2Q478, bid 135, label 0, running total 42437
hand 325J4, bid 58, label 0, running total 43133
hand 34982, bid 639, label 0, running total 51440
hand 35T9K, bid 988, label 0, running total 65272
hand 3674Q, bid 342, label 0, running total 70402
hand 37T48, bid 563, label 0, running total 79410
hand 37A82, bid 685, label 0, running total 91055
hand 3896Q, bid 918, label 0, running total 107579
hand 392TK, bid 885, label 0, running total 124394
hand 3Q274, bid 51, label 0, running total 125414
hand 3QT47, bid 516, label 0, running total 136250
hand 3K457, bid 982, label 0, running total 157854
hand 3AJ86, bid 930, label 0, running total 179244
hand 428K6, bid 178, label 0, running total 183516
hand 4297Q, bid 147, label 0, running total 187191
hand 4297A, bid 690, label 0, running total 205131
hand 43TK7, bid 753, label 0, running total 225462
hand 46J72, bid 369, label 0, running total 235794
hand 48T35, bid 428, label 0, running total 248206
hand 48K9Q, bid 993, label 0, running total 277996
hand 49378, bid 524, label 0, running total 294240
hand 4T23A, bid 666, label 0, running total 315552
hand 4J295, bid 489, label 0, running total 331689
hand 4J638, bid 370, label 0, running total 344269
hand 4J6KA, bid 571, label 0, running total 364254
hand 4JTK5, bid 228, label 0, running total 372462
hand 4K6Q5, bid 212, label 0, running total 380306
hand 4KQ39, bid 573, label 0, running total 402080
hand 523TQ, bid 506, label 0, running total 421814
hand 52TJ9, bid 143, label 0, running total 427534
hand 52A4T, bid 169, label 0, running total 434463
hand 539A4, bid 927, label 0, running total 473397
hand 56T8Q, bid 766, label 0, running total 506335
hand 56QK8, bid 596, label 0, running total 532559
hand 56K97, bid 153, label 0, running total 539444
hand 5T487, bid 88, label 0, running total 543492
hand 5KT49, bid 295, label 0, running total 557357
hand 5KJ47, bid 548, label 0, running total 583661
hand 5A4QJ, bid 580, label 0, running total 612081
hand 5A6K4, bid 236, label 0, running total 623881
hand 5A9J8, bid 190, label 0, running total 633571
hand 64AK9, bid 423, label 0, running total 655567
hand 65732, bid 556, label 0, running total 685035
hand 65792, bid 969, label 0, running total 737361
hand 65QJ8, bid 705, label 0, running total 776136
hand 68573, bid 881, label 0, running total 825472
hand 6897J, bid 626, label 0, running total 861154
hand 6954Q, bid 144, label 0, running total 869506
hand 69K8A, bid 4, label 0, running total 869742
hand 6T253, bid 375, label 0, running total 892242
hand 6T7KA, bid 779, label 0, running total 939761
hand 6J7AQ, bid 607, label 0, running total 977395
hand 6QK32, bid 290, label 0, running total 995665
hand 72TA9, bid 486, label 0, running total 1026769
hand 72K89, bid 644, label 0, running total 1068629
hand 74238, bid 1, label 0, running total 1068695
hand 76A4Q, bid 805, label 0, running total 1122630
hand 78TAJ, bid 869, label 0, running total 1181722
hand 78KTQ, bid 458, label 0, running total 1213324
hand 7953T, bid 438, label 0, running total 1243984
hand 79K54, bid 772, label 0, running total 1298796
hand 7J3Q2, bid 413, label 0, running total 1328532
hand 7J59T, bid 652, label 0, running total 1376128
